Course,Department,Credits,Pre-Requisites,Co-Requisites,Semesters
BE 4250,Biomedical Optics,Biomedical Engineering,3.0,(MA 2320 or MA 2321 or MA 2330) and (MA 3520 or MA 3521 or MA 3530 or MA 3560) and MA 3160,,Spring - Offered alternate years beginning with the 2014-2015 academic year 
BE 4300,Polymeric Biomaterials,Biomedical Engineering,3.0,BE 3800,,"Fall, Spring - Offered alternate years beginning with the 2009-2010 academic year "
BE 4330,Biomimetic Materials,Biomedical Engineering,3.0,BE 3350 and BE 3800,,Fall - Offered alternate years beginning with the 2014-2015 academic year 
BE 4335,Smart Polymers,Biomedical Engineering,3.0,BE 3350 and BE 3800,,Fall - Offered alternate years beginning with the 2015-2016 academic year 
BE 4350,Cell Biomechanics and Mechanical Transduction,Biomedical Engineering,3.0,BE 2400 and BE 3350 and BE 3800,,Fall
BE 4510,Cardiovascular Engineering,Biomedical Engineering,3.0,BL 2020 and BE 2400,,Fall
BE 4610,Biological Microscopy for Engineers,Biomedical Engineering,3.0,BE 3700,,Fall - Offered alternate years beginning with the 2014-2015 academic year 
BE 4700,Biosensors: Fabrication &amp; Applications,Biomedical Engineering,3.0,BE 3600 or (BE 3700 and BE 3701),,Fall - Offered alternate years beginning with the 2009-2010 academic year 
BE 4755,Medical Devices,Biomedical Engineering,3.0,,,Fall
BE 4770,Biomedical Microcontrollers,Biomedical Engineering,3.0,BE 3600 or (BE 3700 and BE 3701),,Fall - Offered alternate years beginning with the 2013-2014 academic year 
BE 4800,Biomaterials Interfaces,Biomedical Engineering,3.0,BE 3800,,Spring - Offered alternate years beginning with the 2010-2011 academic year 
BE 4900,Biomedical Design Fundamentals,Biomedical Engineering,2.0,,,Spring
BE 4901,Biomedical Design Project I,Biomedical Engineering,2.0,BE 3500(C) and BE 3600 and (BE 3750 or MEEM 4180) or (BE 3350 and BE 3700 and BE 3701 and BE 3800) and BE 4900,,Fall
BE 4910,Biomedical Design Project II,Biomedical Engineering,2.0,BE 4900 and BE 4901,,Spring
BE 4930,Biomedical Engineering Topics,Biomedical Engineering,variable to   6.0;  May be repeated,,,"Fall, Spring, Summer"
BE 4940,Introduction to Tissue Engineering,Biomedical Engineering,3.0,BE 2400 and BL 2020,,Spring - Offered alternate years beginning with the 2010-2011 academic year 
BL 0600,Clinical Practicum and Career Preparation Seminar,Biological Sciences,1.0; Graded Pass/Fail Only,,,Spring
BL 1000,Introduction to Great Lakes Science,Biological Sciences,3.0,,,Fall
BL 1010,General Biology I,Biological Sciences,4.0,,,Fall
BL 1020,General Biology II,Biological Sciences,4.0,BL 1010,,"Spring, Summer"
BL 1040,Principles of Biology,Biological Sciences,4.0,,,"Fall, Summer"
BL 1580,Introduction to Biological Sciences,Biological Sciences,1.0,,,Fall
BL 1590,Introduction to the Health Professions,Biological Sciences,1.0,,,Fall
BL 1600,Introduction to Medical Laboratory Science,Biological Sciences,1.0,,,Fall
BL 1710,Medical Terminology,Biological Sciences,1.0,,,Fall
BL 1800,Biochemistry Orientation,Biological Sciences,1.0,,,Fall
BL 2000,Biology of Movement and Meditation,Biological Sciences,3.0,,,"Fall, Spring, Summer"
BL 2004,Cooking and Nutrition,Biological Sciences,3.0,,,Summer
BL 2010,Anatomy &amp; Physiology l,Biological Sciences,3.0,CH 1000 or (CH 1150 and CH 1151),,"Fall, Summer"
BL 2011,Anatomy &amp; Physiology I Lab,Biological Sciences,1.0,BL 2010(C),,"Fall, Summer"
BL 2020,Anatomy &amp; Physiology II,Biological Sciences,3.0,BL 2010,,Spring
BL 2021,Anatomy &amp; Physiology II Lab,Biological Sciences,1.0,BL 2011 and BL 2020(C),,Spring
BL 2100,Principles of Biochemistry,Biological Sciences,3.0,BL 1020 or BL 1040 or BE 2400 and CH 1112 or (CH 1150 and CH 1151),,Fall
BL 2160,Botany,Biological Sciences,4.0,,,Spring
BL 2170,Zoology,Biological Sciences,4.0,BL 1010 or BL 1040,,Fall
BL 2200,Genetics,Biological Sciences,3.0,(BL 1020 or BL 1040 or BE 2400) and (BL 2100 or CH 4710),,"Spring, Summer"
BL 2210,Genetics Laboratory,Biological Sciences,1.0,BL 2200(C),,Spring
BL 2410,Basic Medical Laboratory Techniques,Biological Sciences,3.0,BL 1020 or BL 1040,,Fall
BL 2940,Human Nutrition,Biological Sciences,3.0,,,"Spring, Summer"
BL 3000,Job Shadowing in Health Professions,Biological Sciences,1.0;  Repeatable to a Max of 3,BL 2010(C),,"Fall, Spring, Summer"
BL 3006,Graduate Health Program Application Preparation,Biological Sciences,1.0,,,Spring
BL 3010,General Entomology,Biological Sciences,4.0,BL 1010 or BL 1040,,Fall
BL 3012,Essential Cell Biology,Biological Sciences,3.0,BL 1020 or BL 1040 and BL 2100,,Spring
BL 3070,Biology &amp; Occupational Hygiene,Biological Sciences,3.0,,,Fall
BL 3080,Biological Concepts for Engineers,Biological Sciences,3.0,,,Fall
BL 3190,Evolution,Biological Sciences,3.0,BL 1020 or BL 1040,,Spring
BL 3210,General Microbiology,Biological Sciences,4.0,(BL 1020 or BL 1040) and (BL 2100 or CH 4710),,"Fall, Summer"
BL 3220,Medical Mycology and Virology,Biological Sciences,3.0,BL 3210,,Spring
BL 3230,Medical Bacteriology,Biological Sciences,4.0,BL 3210,,Spring
BL 3300,Introduction to Genomics,Biological Sciences,3.0,BL 2200 or FW 3320,,"Fall, Summer"
BL 3310,Environmental Microbiology,Biological Sciences,3.0,BL 1040 or BL 3070 or BL 3080,,Spring
BL 3400,Principles of Ecology,Biological Sciences,4.0,BL 1020 or BL 1040,,Fall
BL 3640,General Immunology,Biological Sciences,3.0,BL 1020 or BL 1040 or BL 2020 or BE 2400,,"Fall, Summer"
BL 3780,Medical Parasitology Laboratory,Biological Sciences,1.0,BL 1710 and BL 2410,,Spring
BL 3782,Writing Practicum in Biology,Biological Sciences,2.0,,,"Fall, Spring"
BL 3970,Current Health Issues,Biological Sciences,3.0,UN 1015 and (UN 1025 or Modern Language - 3000 level or higher),,"Spring, Summer"
BL 3990,Biological Sciences Teaching Experience,Biological Sciences,variable to   4.0;  Repeatable to a Max of 4,,,"Fall, Spring, Summer"
BL 4000,Research in Biology,Biological Sciences,variable to   9.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
BL 4001,Honors Research in Biology,Biological Sciences,variable to   9.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
BL 4008,Summer Workshop on Genome Editing of Human Disease Genes,Biological Sciences,3.0,,,Summer
BL 4010,Biochemistry I,Biological Sciences,3.0,(BL 1020 or BL 1040 or BL 2010) and BL 2100 and (CH 2410 or CH 2420),,"Fall, Summer"
BL 4020,Biochemistry II,Biological Sciences,3.0,BL 4010,,"Spring, Summer"
BL 4030,Molecular Biology,Biological Sciences,3.0,(BL 1020 or BL 1040) and (BL 2100 or CH 4710),,"Fall, Summer"
BL 4033,Pollination Biology,Biological Sciences,3.0,BL 1010 or BL 1040 or BL 2160,,Spring - Offered alternate years beginning with the 2012-2013 academic year 
BL 4034,Community Ecology and Evolutionary Dynamics,Biological Sciences,3.0,BL 3400 and BL 3190,,Fall - Offered alternate years beginning with the 2014-2015 academic year 
BL 4035,Bioimaging,Biological Sciences,2.0,,,Fall - Offered alternate years beginning with the 2010-2011 academic year 
BL 4036,Ecology and Evolution of Interactions Between Plants and Insects,Biological Sciences,3.0,BL 3400 and BL 3190,,Fall - Offered alternate years beginning with the 2013-2014 academic year 
BL 4042,Scanning Electron Microscopy of Biological Specimens,Biological Sciences,2.0,,BL 4035,Fall - Offered alternate years beginning with the 2010-2011 academic year 
BL 4052,Fluorescence and Video Microscopy of Biological Specimens,Biological Sciences,2.0,BL 4035,,Spring - Offered alternate years beginning with the 2010-2011 academic year 
BL 4062,Transmission Electron Microscopy of Biological Specimens,Biological Sciences,2.0,BL 4035,,Spring - Offered alternate years beginning with the 2010-2011 academic year 
BL 4090,Tropical Island Biology,Biological Sciences,2.0,,,Spring
BL 4100,Special Topics in Biological Sciences,Biological Sciences,variable to  10.0;  Repeatable to a Max of 10,,,"Fall, Spring, Summer"
BL 4120,Environmental Remediation and Toxicology,Biological Sciences,3.0,BL 1020 or BL 1040,,Fall - Offered alternate years beginning with the 2011-2012 academic year 
BL 4134,Field Methods in Great Lakes Oceanography,Biological Sciences,2.0,,,Summer
BL 4140,Plant Physiology,Biological Sciences,3.0,BL 2160 and CH 2420,,Spring - Offered alternate years beginning with the 2005-2006 academic year 
BL 4145,Plant-Microbe Interactions,Biological Sciences,3.0,BL 2200,,Fall - Offered alternate years beginning with the 2012-2013 academic year 
BL 4220,Applied and Industrial Microbiology,Biological Sciences,3.0,BL 3210 or BL 3310,,Spring - Offered alternate years beginning with the 2001-2002 academic year 
BL 4370,Cell Biology,Biological Sciences,3.0,BL 2200 and CH 2420,,Spring
BL 4380,Cardiopulmonary Physiology,Biological Sciences,3.0,BL 2020,,Fall
BL 4421,Lake Superior Exploration,Biological Sciences,3.0,,,Summer
BL 4440,Fish Biology,Biological Sciences,4.0,BL 1020 or BL 1040,,"Fall, Spring - Offered alternate years beginning with the 2006-2007 academic year "
BL 4442,Lake Ecology and Fish Biology,Biological Sciences,4.0,BL 1010 or BL 1040 or BL 3400,,Fall - Offered alternate years beginning with the 2014-2015 academic year 
BL 4447,Stream Ecology and Fish Biology,Biological Sciences,4.0,BL 1010 or BL 1040 or BL 3400,,Fall - Offered alternate years beginning with the 2015-2016 academic year 
BL 4450,Limnology,Biological Sciences,4.0,CH 1122 or (CH 1160 and CH 1161),,Fall
BL 4455,Research Methods in Aquatic Ecology,Biological Sciences,2.0,BL 4450 and (BL 4450 or FW 4220 or ENVE 4505),,Fall - Offered alternate years beginning with the 2011-2012 academic year 
BL 4461,Ecosystem Ecology,Biological Sciences,3.0,BL 3400 and CH 1122 or (CH 1160 and CH 1161),,Spring - Offered alternate years beginning with the 2011-2012 academic year 
BL 4465,Biological Oceanography,Biological Sciences,3.0,BL 1010 or BL 1040 or BL 3070,,Spring
BL 4510,Senior Capstone Experience,Biological Sciences,2.0,,,"Fall, Spring"
BL 4530,Senior Research Capstone Experience,Biological Sciences,1.0,BL 4000(C) or BL 4001(C) or BL 4995(C),,"Fall, Spring"
BL 4550,Clinical Chemistry,Biological Sciences,3.0,BL 2020 and BL 3640,,Spring
BL 4610,Medical Laboratory Science Medical Practicum I,Biological Sciences,15.0,,,"Fall, Spring, Summer"
BL 4611,Medical Laboratory Science Medical Practicum II,Biological Sciences,15.0,BL 4610,,"Fall, Spring, Summer"
BL 4630,Cytotechnology Practicum I,Biological Sciences,14.0,,,Fall
BL 4631,Cytotechnology Practicum II,Biological Sciences,14.0,BL 4630,,Spring
BL 4640,Clinical Immunology &amp; Serology,Biological Sciences,2.0,BL 2410 and BL 3640,,Fall
BL 4660,Current Topics in Medical Laboratory Science,Biological Sciences,variable to   4.0;  Repeatable to a Max of 6,,,"Fall, Spring"
BL 4720,Hematology and Hemostasis,Biological Sciences,3.0,BL 4730(C),,Fall
BL 4730,Immunohematology Techniques,Biological Sciences,1.0,BL 4720(C),,Fall
BL 4750,Medical Laboratory Instrumentation,Biological Sciences,2.0,,,Spring
BL 4752,Cancer Biology,Biological Sciences,3.0,BL 3012 or BL 4370 or BE 2400,,Spring
BL 4820,Biochemical Laboratory Techniques I,Biological Sciences,2.0,BL 4010(C) or CH 4710(C),,"Spring, Summer"
BL 4840,Molecular Biology Techniques,Biological Sciences,3.0,(BL 2100 or CH 4710) and BL 2200 and BL 4030(C),,"Fall, Summer"
BL 4980,Medical Laboratory Science Core Concept Integration and Application,Biological Sciences,2.0,BL 3230(C) and BL 4550(C) and BL 4640 and BL 4720 and BL 4730,,Spring
BL 4995,Research in Biochemistry,Biological Sciences,variable to   6.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
BUS 1100,Introduction to Business,Business,3.0,,,"Fall, Spring, Summer"
BUS 2100,Business Statistics,Business,3.0,MA 1135 or MA 1160 or MA 1161,,"Fall, Spring, Summer"
BUS 2200,Business Law,Business,3.0,,,"Fall, Spring, Summer"
BUS 2300,Quantitative Problem Solving,Business,3.0,BUS 2100 or MA 2710 or MA 2720 or MA 3710 or MA 3720,,"Fall, Spring, Summer"
BUS 3900,Business Internship,Business,variable to   4.0;  Repeatable to a Max of 4,,,"Fall, Spring, Summer"
BUS 4900,Research Projects,Business,variable to   4.0;  Repeatable to a Max of 6,,,On Demand
BUS 4910,Global Business Experience International Residency,Business,3.0,,,Summer
BUS 4950,Business Project,Business,variable to   4.0;  Repeatable to a Max of 6,,,On Demand
BUS 4990,Special Topics in Business,Business,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
BUS 4991,Business Development Experience I,Business,3.0,BUS 1100 and BUS 2300 and ACC 2000 and ACC 2100 and BUS 2200 and MGT 2000 and MIS 2000 and FIN 3000 and OSM 3000 and MGT 3000 or MKT 3000,,Fall
BUS 4992,Business Development Experience II,Business,3.0,BUS 4991,,Spring
CE 1000,Civil Engineering,Civil Engineering,1.0,,,Fall
CE 1001,Sustainability and Civil Engineering Practice,Civil Engineering,1.0,,,Spring
CE 3101,Civil Engineering Materials,Civil Engineering,3.0,ENG 2120 or MEEM 2150,,"Fall, Spring"
CE 3202,Structural Analysis,Civil Engineering,3.0,(ENG 2120 or MEEM 2150) and (MA 2320 or MA 2321 or MA 2330),,"Fall, Spring, Summer"
CE 3331,Professional Practice,Civil Engineering,2.0,,,"Fall, Spring"
CE 3332,Fundamentals of Construction Engineering,Civil Engineering,3.0,,,"Fall, Spring, Summer"
CE 3401,Transportation Engineering,Civil Engineering,3.0,,,"Fall, Spring"
CE 3620,Water Resources Engineering,Civil Engineering,4.0,ENG 3200 and (MA 3710(C) or ENVE 3502(C) or CE 3710(C)),,"Fall, Spring, Summer"
CE 3710,Uncertainty Analysis in Engineering,Civil Engineering,3.0,MA 2160,,Fall
CE 3810,Soil Mechanics for Engineers,Civil Engineering,4.0,GE 2000 and (MEEM 2150 or ENG 2120) and ENG 3200,,"Fall, Spring, Summer"
CE 4010,Introduction to Consulting Engineering,Civil Engineering,3.0,,,Spring
CE 4020,Computer Applications: Visualizing and Communicating Design Information,Civil Engineering,3.0,CE 3332 or CE 3401(C),,Fall
CE 4101,Bituminous Materials,Civil Engineering,3.0,CE 3101,,"Fall, Spring"
CE 4201,Matrix Structural Analysis,Civil Engineering,3.0,CE 3202,,Fall
CE 4213,Structural Concrete Design,Civil Engineering,4.0,CE 3202,,Spring
CE 4223,Steel Design I,Civil Engineering,4.0,CE 3202,,"Fall, Summer"
CE 4233,Structural Timber Design,Civil Engineering,3.0,CE 3202,,Spring
CE 4244,Loads for Civil Structures,Civil Engineering,3.0,CE 3202,,Spring
CE 4333,Estimating and Planning of Construction Projects,Civil Engineering,3.0,CE 3332,,Fall
CE 4344,Construction Scheduling,Civil Engineering,3.0,CE 3332 or CMG 3265,,Spring
CE 4401,Pavement Design,Civil Engineering,3.0,CE 3401 and CE 3101,,Fall
CE 4402,Traffic Engineering,Civil Engineering,3.0,,,Fall
CE 4404,Railroad Engineering,Civil Engineering,3.0,,,Fall
CE 4406,Airport Planning and Design,Civil Engineering,3.0,,,Spring
CE 4407,Transportation Design,Civil Engineering,3.0,CE 3401 and SU 2000,,Spring
CE 4410,Transportation Planning,Civil Engineering,3.0,,,Fall
CE 4490,Rail Transportation Seminar,Civil Engineering,1.0,,,Spring
CE 4510,Baccalaureate Thesis,Civil Engineering,3.0,,,"Fall, Spring"
CE 4620,River and Floodplain Hydraulics,Civil Engineering,3.0,CE 3620,,Fall
CE 4640,Stormwater Management and Low Impact Development,Civil Engineering,3.0,CE 3620,,"Spring, Summer"
CE 4665,Stream Restoration,Civil Engineering,3.0,CE 3620,,Spring
CE 4760,Optimization Methods in Civil and Environmental Engineering,Civil Engineering,3.0,MA 2160 and (MA 2320 or MA 2321 or MA 2330),,Spring
CE 4820,Foundation Engineering,Civil Engineering,3.0,CE 3810,,Fall
CE 4830,Geosynthetics Engineering,Civil Engineering,3.0,CE 3810,,Spring
CE 4850,Rock Engineering for Civil Engineers,Civil Engineering,3.0,CE 3810,,Spring - Offered alternate years beginning with the 2009-2010 academic year 
CE 4900,Engineering Design Project I,Civil Engineering,3.0,,,"Fall, Summer"
CE 4905,Engineering Design Project,Civil Engineering,3.0,,,"Fall, Spring, Summer"
CE 4910,Engineering Design Project II,Civil Engineering,3.0,CE 4900,,"Spring, Summer"
CE 4915,International Engineering Field Experience,Civil Engineering,3.0,,,"Fall, Spring, Summer"
CE 4916,International Senior Design Field Project,Civil Engineering,3.0,CE 4915,,"Fall, Spring, Summer"
CE 4920,Civil Engineering Independent Study,Civil Engineering,variable to   3.0;  Repeatable to a Max of 3,,,"Fall, Spring, Summer"
CE 4990,Special Topics in Civil Eng.,Civil Engineering,variable to   3.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
CH 0100,Chemistry Coaching,Chemistry,0.0;  May be repeated,,,"Fall, Spring, Summer"
CH 0200,Organic Chemistry Coaching,Chemistry,0.0;  May be repeated,,,"Fall, Spring"
CH 1000,Preparatory Chemistry,Chemistry,3.0,,,Fall
CH 1112 - University Chemistry,University Chemistry - Studio Laboratory I,Chemistry,5.0,MA 1031(C) or MA 1032(C),,Fall
CH 1122 - University Chemistry,University Chemistry - Studio Laboratory II,Chemistry,5.0,CH 1112 or (CH 1150 and CH 1151),,Spring
CH 1130,Professional Development for Chemists I: Orientation,Chemistry,1.0; Graded Pass/Fail Only,,,Fall
CH 1150,University Chemistry I,Chemistry,3.0,MA 1031(C) or MA 1032(C) or MA 1160(C) or MA 1161(C) or MA 1135(C) or ALEKS Math Placement >= 56 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2,CH 1151,"Fall, Spring, Summer"
CH 1151,University Chemistry Lab I,Chemistry,1.0,MA 1031(C) or MA 1032(C) or MA 1160(C) or MA 1161(C) or MA 1135(C) or ALEKS Math Placement >= 56 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2,CH 1150,"Fall, Spring, Summer"
CH 1153,University Chem Recitation I,Chemistry,1.0,MA 1031(C) or MA 1032(C) or MA 1160(C) or MA 1161(C) or MA 1135(C) or ALEKS Math Placement >= 56 or CEEB Calculus AB >= 2 or CEEB Calculus BC >= 2 or CEEB Calculus AB Subscore >= 2,CH 1150,"Fall, Spring, Summer"
CH 1160,University Chemistry II,Chemistry,3.0,CH 1112 or (CH 1150 and CH 1151),CH 1161,"Fall, Spring, Summer"
CH 1161,University Chemistry Laboratory II,Chemistry,1.0,CH 1112 or (CH 1150 and CH 1151),CH 1160,"Fall, Spring, Summer"
CH 1163 - Problem Solving in University Chemistry II,Problem Solving in University Chemistry II - CH1160,Chemistry,1.0,CH 1150 and CH 1151,CH 1160,"Fall, Spring, Summer"
CH 2130,Professional Development for Chemists 2: Career Planning,Chemistry,2.0,CH 1130,,Fall
CH 2212,Quantitative Analysis,Chemistry,5.0,CH 1122 or (CH 1160 and CH 1161),,Spring
CH 2410,Organic Chemistry I,Chemistry,3.0,CH 1122 or (CH 1160 and CH 1161),,"Fall, Summer"
CH 2411,Organic Chemistry Lab I,Chemistry,1.0,CH 2410(C) and CH 1122 or (CH 1160 and CH 1161),,"Fall, Summer"
CH 2420,Organic Chemistry II,Chemistry,3.0,CH 2410,,"Spring, Summer"
CH 2421,Organic Chemistry Lab II,Chemistry,2.0,CH 2411 and CH 2420(C),,"Spring, Summer"
CH 3020,Laboratory Teaching Internship,Chemistry,2.0,,,"Fall, Spring"
CH 3130,Professional Development for Chemists 3: Communication,Chemistry,1.0,CH 2130,,Spring
CH 3510 - Physical Chemistry I,"Physical Chemistry I - Thermodynamics, Equilibrium and Kinetics",Chemistry,3.0,CH 1122 or (CH 1160 and CH 1161) and MA 2160 and PH 2200(C),,"Fall, Spring, Summer"
CH 3511,Physical Chemistry Lab I,Chemistry,2.0,CH 3510(C),,"Fall, Spring, Summer"
CH 3520 - Physical Chemistry II,Physical Chemistry II - Molecular Structure,Chemistry,3.0,CH 1122 or (CH 1160 and CH 1161) and MA 3160 and PH 2200(C),,Spring
CH 3521,Physical Chemistry Lab II,Chemistry,2.0,CH 3520(C),,Spring
CH 3540,Biophysical Chemistry,Chemistry,3.0,(BL 1020 or BL 1040) and CH 1122 or (CH 1160 and CH 1161) and MA 2160 and PH 2200,,Spring
CH 3541,Biophysical Chemistry Laboratory,Chemistry,2.0,,CH 3540,Spring
CH 4110,Pharmaceutical Chemistry: Drug Action,Chemistry,3.0,BL 4010 or CH 4710,,Spring
